Hyperparameter,Attempted_Range_or_Values,Optimal_Selected_Value
BiLSTM_Layers,"[1, 2, 3]",2
BiLSTM_Units,"[32, 64, 128]",64
Dropout_Rate,"[0.0, 0.1, 0.2]",0.0
Learning_Rate,"[0.0001, 0.0005, 0.001]",0.001
Batch_Size,"[32, 64]",64
Optimizer,['Adam'],Adam
Loss_Function,['MAE'],MAE
