Model,Optimal_Parameters
LR,Default parameters
RidgeR,alpha=0.1
Lasso,alpha=0.0001
KNN,n_neighbors=5; p=1; weights=distance
DT,max_depth=20; min_samples_leaf=1; min_samples_split=5
RF,min_samples_leaf=1; min_samples_split=2; n_estimators=200
SVR,C=10; gamma=auto; kernel=rbf
XGBR,learning_rate=0.1; max_depth=9; n_estimators=200
