Epoch,Mean_Train_Loss,Std_Train_Loss,Mean_Val_Loss,Std_Val_Loss
1,0.22925110161304474,0.04267992997830164,0.15152867436408995,0.07468143405346496
2,0.10341677814722061,0.06022163843192402,0.07823853269219398,0.06430762269341969
3,0.0661904163658619,0.05172457325630757,0.057029768079519275,0.04955731613179131
4,0.0473539013415575,0.03403268526578089,0.04115727599710226,0.0371183267436874
5,0.037867506593465806,0.022241475931464486,0.031129030883312224,0.024639300198084572
6,0.03203083835542202,0.01683794038967981,0.027357128635048866,0.02348214972045919
7,0.027929485216736792,0.013882739940622644,0.02429447751492262,0.016549127476248215
8,0.024776948615908623,0.011725663377816957,0.02155145173892379,0.01700223420190774
9,0.022867034748196603,0.01048319538981873,0.020332947187125684,0.015487636650788205
10,0.021080054715275763,0.008514805508635153,0.02080395119264722,0.0163221256322651
11,0.020888074673712252,0.010227461827594061,0.0179864170961082,0.016468474396164466
12,0.019567061960697175,0.009685240407577648,0.019329644460231065,0.016788652952716084
13,0.018651768937706946,0.008615460418534266,0.015930198039859532,0.015277434770176786
14,0.016210027411580084,0.006626300920929789,0.015443948889151215,0.013920956156521265
15,0.01596896965056658,0.007449776708304592,0.014297003904357553,0.013551165707783457
16,0.014823304675519466,0.006475765139130157,0.01369628554675728,0.012987283598294682
17,0.014864235743880272,0.007344161547021386,0.014815864106640219,0.01498185360505952
18,0.014720321260392666,0.008513905426842114,0.013104209117591381,0.012131585701215251
19,0.013117105700075626,0.006160076170864855,0.012850878294557333,0.011443211548718187
20,0.01310299728065729,0.005536139618875181,0.01212811698205769,0.01135959029821433
21,0.012396730575710535,0.005959056838524273,0.01137138893827796,0.011037206578403647
22,0.01195575250312686,0.005719152952019574,0.011662693880498409,0.011327153455959688
23,0.01170140216127038,0.005984096821766385,0.009948354633525013,0.010087506278192373
24,0.011206439323723316,0.005418959834511639,0.00976211205124855,0.00978784295091901
25,0.011109229177236557,0.006133385654704554,0.010255037737078965,0.010419753589842266
26,0.010414194501936435,0.004845521680415406,0.009660179261118174,0.008991915781780132
27,0.010636667627841235,0.005320349455457315,0.010083837574347854,0.009394466775611602
28,0.009743823297321796,0.004939969927988814,0.009647462447173894,0.010727989967658558
29,0.00952111380174756,0.004746614167816374,0.009290064522065222,0.009405820040643149
30,0.009465589188039303,0.005051613437626356,0.009122197376564145,0.010051800763767233
31,0.009557976573705673,0.0053834728160821604,0.009093538229353725,0.009463746717629364
32,0.009120306000113487,0.004590438561806635,0.008660199632868171,0.008382421433617318
33,0.008693110197782516,0.004344463598162113,0.008392362832091748,0.008447111298090774
34,0.008559714071452618,0.0039582343420039275,0.009438321739435197,0.009281471268684258
35,0.008807691093534232,0.004523267435058999,0.009038712829351425,0.009214832646328476
36,0.008618392795324326,0.0038950196144739067,0.008524219039827585,0.008980804981779746
37,0.008935836888849736,0.005425693839561217,0.008506061160005629,0.010142388410684626
38,0.008039151784032583,0.004595367445542968,0.007781047257594764,0.007985087776630246
39,0.007740923203527927,0.004053387200455297,0.007786997221410274,0.00808255319954967
40,0.007865303196012974,0.004246149880241121,0.007736865780316293,0.008627359244239172
41,0.00812437515705824,0.004058693063736148,0.008329089405015111,0.008704554745201171
