Model,Full_Model_Parameters,Training_Time_seconds,Inference_Time_seconds
LR,copy_X=True; fit_intercept=True; n_jobs=None; positive=False,0.029031,0.000435
RidgeR,alpha=0.1; copy_X=True; fit_intercept=True; max_iter=None; positive=False; random_state=42; solver=auto; tol=0.0001,0.007497,0.000355
Lasso,alpha=0.0001; copy_X=True; fit_intercept=True; max_iter=1000; positive=False; precompute=False; random_state=42; selection=cyclic; tol=0.0001; warm_start=False,0.019416,0.000388
KNN,algorithm=auto; leaf_size=30; metric=minkowski; metric_params=None; n_jobs=None; n_neighbors=5; p=1; weights=distance,0.006128,0.019998
DT,ccp_alpha=0.0; criterion=squared_error; max_depth=20; max_features=None; max_leaf_nodes=None; min_impurity_decrease=0.0; min_samples_leaf=1; min_samples_split=5; min_weight_fraction_leaf=0.0; monotonic_cst=None; random_state=42; splitter=best,0.077839,0.000698
RF,bootstrap=True; ccp_alpha=0.0; criterion=squared_error; max_depth=None; max_features=1.0; max_leaf_nodes=None; max_samples=None; min_impurity_decrease=0.0; min_samples_leaf=1; min_samples_split=2; min_weight_fraction_leaf=0.0; monotonic_cst=None; n_estimators=200; n_jobs=None; oob_score=False; random_state=42; verbose=0; warm_start=False,12.853679,0.065664
SVR,C=10; cache_size=200; coef0=0.0; degree=3; epsilon=0.1; gamma=auto; kernel=rbf; max_iter=-1; shrinking=True; tol=0.001; verbose=False,1.326999,0.099418
XGBR,objective=reg:squarederror; base_score=None; booster=None; callbacks=None; colsample_bylevel=None; colsample_bynode=None; colsample_bytree=None; device=None; early_stopping_rounds=None; enable_categorical=True; eval_metric=None; feature_types=None; feature_weights=None; gamma=None; grow_policy=None; importance_type=None; interaction_constraints=None; learning_rate=0.1; max_bin=None; max_cat_threshold=None; max_cat_to_onehot=None; max_delta_step=None; max_depth=9; max_leaves=None; min_child_weight=None; missing=nan; monotone_constraints=None; multi_strategy=None; n_estimators=200; n_jobs=None; num_parallel_tree=None; random_state=42; reg_alpha=None; reg_lambda=None; sampling_method=None; scale_pos_weight=None; subsample=None; tree_method=None; validate_parameters=None; verbosity=None,1.582492,0.00819
