Epoch,Mean_Train_Loss,Std_Train_Loss,Mean_Val_Loss,Std_Val_Loss
1,0.1606122672557831,0.06839492475709022,0.07719716913998127,0.06560761507193506
2,0.06871132552623749,0.03862789573321743,0.054348247684538366,0.057027064732231486
3,0.0408709030598402,0.02607710261975557,0.04009471824392676,0.03725446837240295
4,0.03089566361159086,0.01985742053954681,0.029854796640574933,0.029006993429015197
5,0.025171476043760778,0.01473164450002972,0.025830870494246483,0.026210167081192483
6,0.022162339091300963,0.01473183747541641,0.02175745405256748,0.02206345217998357
7,0.018689210899174212,0.009055330704331802,0.019100031722337006,0.019933739137657253
8,0.016569261066615583,0.00796781345166243,0.018173444340936838,0.020263317858530104
9,0.016361617669463157,0.010187022915833682,0.017151453252881765,0.016879022673138445
10,0.015474062878638506,0.009408705504859304,0.015883205621503294,0.017582477710279716
11,0.012956976238638163,0.005696874318590975,0.014753093710169196,0.01482015390167079
12,0.012339224945753813,0.0055089571020637456,0.013553062779828906,0.013666312165301182
13,0.011406046338379383,0.00693205287404455,0.01374397911131382,0.014674975091226367
14,0.011549019441008567,0.006821496090201987,0.012179948063567281,0.013285800393705548
15,0.010120164044201374,0.004945430868413206,0.013230202649720014,0.015659396953679593
16,0.009562402218580245,0.004752345228875096,0.012553714879322797,0.014481085103160471
17,0.010392637830227614,0.0042685371687678645,0.012998619512654842,0.012549219473339767
18,0.009882891923189164,0.006423100154021428,0.012443959258962422,0.013256692204724814
19,0.008755656657740474,0.0051828508524115495,0.012225560680963098,0.013233015011284304
20,0.009316216316074133,0.006612144546110605,0.013156166183762252,0.0175662660390449
21,0.009163049282506108,0.00758640779409548,0.011259251250885427,0.014195147562279757
22,0.007395990565419197,0.004883629828077655,0.010765454836655409,0.011362258618455865
23,0.006284524081274867,0.0035859779553980356,0.009190316381864249,0.009806866893112392
24,0.006239391304552555,0.003717864083486042,0.008326920366380363,0.010086663918873686
25,0.006408520322293043,0.0038324470417550253,0.00843197361100465,0.010098256320262287
26,0.005689720623195171,0.0032462611962947763,0.00953948418609798,0.011216531940744097
27,0.006367383571341634,0.0039968466855954815,0.007814778515603393,0.009918368053088805
28,0.0057672138791531324,0.0037104115157048693,0.007728226226754486,0.009021136532976433
29,0.005432916060090065,0.0035072616266043173,0.008036942582111805,0.009462734110431081
30,0.005251734517514706,0.0031757532803074534,0.008305290440330283,0.009953429973080628
31,0.006318233720958233,0.004525289627932892,0.008618426049361005,0.009624902329204904
32,0.004885906027629972,0.0030589555388796067,0.007549203664530069,0.009819440115664865
33,0.004355377936735749,0.003050518794387457,0.007330433442257344,0.00965522212061116
34,0.003909541200846434,0.002488775194964673,0.006893588165985421,0.008955655292256904
35,0.0037482709158211946,0.002406130884011227,0.00669377131271176,0.008873832612288
36,0.003993318742141127,0.0024126003123502862,0.006843468389706686,0.008748712111857605
37,0.003937452146783471,0.002454909810836134,0.006645497231511399,0.00865346350575012
38,0.003769056033343077,0.002370981788567384,0.006916159013053402,0.008553872450257311
39,0.0037791211158037185,0.0023634949487440823,0.00666533118346706,0.008513771553827945
40,0.0034791816491633655,0.0021495174211731685,0.0068299121514428405,0.008779325433643709
41,0.003468730533495545,0.002359883178290595,0.0064548351860139516,0.008430739609714374
42,0.0033035260159522293,0.0021430601749612642,0.006595637393184006,0.008206043369578869
43,0.0034229437122121455,0.0020261510567745143,0.006462926120730117,0.008114977884105675
44,0.0035819645854644477,0.0020564044327255667,0.007627958577359095,0.008459545993180082
45,0.003292821900686249,0.002013877609353331,0.0077126358228269964,0.008460400506047669
46,0.0034543205983936787,0.0021126574181417035,0.008120263839373365,0.008904048232189408
47,0.003555683884769678,0.002328088209241866,0.007819390812073834,0.008910408600871644
48,0.0033590273233130574,0.002228511011876555,0.007849476125556976,0.008675727748872163
49,0.0031821391312405467,0.0019865772982542683,0.007910492247901857,0.008931395795505545
50,0.0031989568669814616,0.0019181171202715605,0.007769025454763323,0.008750934788230648
51,0.0036538506004338465,0.0017735485213592824,0.010042857456331452,0.009111724089352718
52,0.0036347107961773872,0.0018653813027781835,0.0098788655983905,0.008984378837319148
53,0.0036104576041301093,0.0017925551031163524,0.01000776250536243,0.009268996526122538
54,0.003642835382682582,0.0018384397017719824,0.009877122705802321,0.008985366299827375
55,0.003583037566083173,0.0017171290441481309,0.00985606829635799,0.009041839164914583
56,0.0034925147580603757,0.001724995828939759,0.00986595219001174,0.009084564824269023
57,0.00349012715741992,0.0016788071208333549,0.009821067874630293,0.00908328445677541
58,0.004322431865148246,0.001491787494160235,0.013261118903756142,0.00948001816868782
59,0.004227474215440452,0.0015602778876200318,0.01316618116106838,0.009481900022365153
60,0.004336212412454188,0.0014484560815617442,0.01320271217264235,0.009508652379736304
61,0.0041786665096879005,0.001585360150784254,0.013089748099446297,0.009391684085130692
62,0.004215340130031109,0.0016461373306810856,0.013024038984440267,0.00932227133307606
63,0.002480406081303954,0.0,0.0037401996087282896,0.0
64,0.0024816561490297318,0.0,0.003850689623504877,0.0
65,0.0025564166717231274,0.0,0.003732330398634076,0.0
66,0.002469036029651761,0.0,0.0036652344278991222,0.0
67,0.002486160723492503,0.0,0.0036400186363607645,0.0
68,0.00242820312269032,0.0,0.0036875554360449314,0.0
69,0.002491786377504468,0.0,0.003616299480199814,0.0
70,0.002420122269541025,0.0,0.003666203934699297,0.0
71,0.002440625336021185,0.0,0.0036386558786034584,0.0
72,0.002400274621322751,0.0,0.0036112323869019747,0.0
73,0.0024015146773308516,0.0,0.003618055721744895,0.0
74,0.0023925427813082933,0.0,0.0036218352615833282,0.0
75,0.0023896924685686827,0.0,0.00361577607691288,0.0
76,0.002395751653239131,0.0,0.003603729885071516,0.0
77,0.0023651449009776115,0.0,0.0035988211166113615,0.0
78,0.0023646370973438025,0.0,0.00359801365993917,0.0
79,0.0023631465155631304,0.0,0.0035965857096016407,0.0
